file_path,document_id,customer_id,customer_name,invoice_date,status,policy,canonical_id,subtotal_usd,discount_usd,tax_usd,total_usd,net_spend_effect_usd,valid_invoice_count_effect,hidden_flags
invoices/INV-2025-1001_C011.pdf,INV-2025-1001,C011,Keystone Renewable Works,2025-05-01,PARTIAL,include,INV-2025-1001,12592.25,0.00,881.46,13473.71,13473.71,1,
invoices/INV-2025-1002_C003.pdf,INV-2025-1002,C003,Cobalt Harbor Clinics,2025-02-08,OPEN,include,INV-2025-1002,15841.62,237.62,936.24,16540.24,16540.24,1,
invoices/INV-2025-1003_C012.pdf,INV-2025-1003,C012,Lumen Arc Studios,2025-10-07,PARTIAL,include,INV-2025-1003,32621.69,0.00,2935.95,35557.64,35557.64,1,
invoices/INV-2025-1004_C011.pdf,INV-2025-1004,C011,Keystone Renewable Works,2025-12-03,PAID,include,INV-2025-1004,35369.35,0.00,2475.85,37845.20,37845.20,1,
invoices/INV-2025-1005_C012.pdf,INV-2025-1005,C012,Lumen Arc Studios,2025-05-28,PAID,include,INV-2025-1005,50298.36,0.00,4526.85,54825.21,54825.21,1,
invoices/INV-2025-1006_C013.pdf,INV-2025-1006,C013,Meridian Public Works,2025-05-20,OPEN,include,INV-2025-1006,43190.03,0.00,0.00,43190.03,43190.03,1,
invoices/INV-2025-1007_C005.pdf,INV-2025-1007,C005,Evergreen Robotics Lab,2025-06-18,PAID,include,INV-2025-1007,18687.14,0.00,1681.84,20368.98,20368.98,1,
invoices/INV-2025-1008_C008.pdf,INV-2025-1008,C008,Hearthstone Community Bank,2025-10-23,OPEN,include,INV-2025-1008,50189.41,752.84,2471.83,51908.40,51908.40,1,
invoices/INV-2025-1009_C001.pdf,INV-2025-1009,C001,Aster North Analytics,2025-03-10,PAID,include,INV-2025-1009,29632.64,1481.63,1689.06,29840.07,29840.07,1,
invoices/INV-2025-1010_C015.pdf,INV-2025-1010,C015,Oak & Slate Interiors,2025-05-29,PAID,include,INV-2025-1010,34797.30,869.93,2374.92,36302.29,36302.29,1,
invoices/INV-2025-1011_C005.pdf,INV-2025-1011,C005,Evergreen Robotics Lab,2025-11-09,PAID,include,INV-2025-1011,25194.65,1259.73,2154.14,26089.06,26089.06,1,
invoices/INV-2025-1012_C001.pdf,INV-2025-1012,C001,Aster North Analytics,2025-05-29,PAID,include,INV-2025-1012,9951.04,0.00,597.06,10548.10,10548.10,1,
invoices/INV-2025-1013_C013.pdf,INV-2025-1013,C013,Meridian Public Works,2025-03-02,PAID,include,INV-2025-1013,47204.65,0.00,0.00,47204.65,47204.65,1,
invoices/INV-2025-1014_C017.pdf,INV-2025-1014,C017,Quartzline Insurance,2025-03-09,PARTIAL,include,INV-2025-1014,15376.03,0.00,922.56,16298.59,16298.59,1,
invoices/INV-2025-1015_C018.pdf,INV-2025-1015,C018,Riverbend Arts Foundation,2025-08-25,PARTIAL,include,INV-2025-1015,52105.38,0.00,0.00,52105.38,52105.38,1,
invoices/INV-2025-1016_C015.pdf,INV-2025-1016,C015,Oak & Slate Interiors,2025-06-19,OPEN,include,INV-2025-1016,22177.79,0.00,1552.45,23730.24,23730.24,1,
invoices/INV-2025-1017_C009.pdf,INV-2025-1017,C009,Ion Trail Logistics,2025-07-31,PAID,include,INV-2025-1017,28887.49,722.19,2253.22,30418.52,30418.52,1,
invoices/INV-2025-1018_C013.pdf,INV-2025-1018,C013,Meridian Public Works,2025-05-17,PAID,include,INV-2025-1018,10139.45,0.00,0.00,10139.45,10139.45,1,
invoices/INV-2025-1019_C011.pdf,INV-2025-1019,C011,Keystone Renewable Works,2025-09-11,OPEN,include,INV-2025-1019,31611.97,0.00,2212.84,33824.81,33824.81,1,
invoices/INV-2025-1020_C001.pdf,INV-2025-1020,C001,Aster North Analytics,2025-09-28,OPEN,include,INV-2025-1020,21811.43,1090.57,1243.25,21964.11,21964.11,1,
invoices/INV-2025-1021_C016.pdf,INV-2025-1021,C016,Prairie Signal Telecom,2025-02-03,OPEN,include,INV-2025-1021,14102.52,705.13,803.84,14201.23,14201.23,1,
invoices/INV-2025-1022_C017.pdf,INV-2025-1022,C017,Quartzline Insurance,2025-03-05,PARTIAL,include,INV-2025-1022,49560.42,0.00,2973.63,52534.05,52534.05,1,
invoices/INV-2025-1023_C007.pdf,INV-2025-1023,C007,Glasspeak Hospitality,2025-07-26,OPEN,include,INV-2025-1023,26123.15,1306.16,2481.70,27298.69,27298.69,1,
invoices/INV-2025-1024_C014.pdf,INV-2025-1024,C014,Northstar Produce Cooperative,2025-06-08,OPEN,include,INV-2025-1024,69671.92,0.00,4180.32,73852.24,73852.24,1,
invoices/INV-2025-1025_C006.pdf,INV-2025-1025,C006,Forgewell Manufacturing,2025-01-11,OPEN,include,INV-2025-1025,20530.95,513.27,1201.06,21218.74,21218.74,1,
invoices/INV-2025-1026_C018.pdf,INV-2025-1026,C018,Riverbend Arts Foundation,2025-05-17,OPEN,include,INV-2025-1026,65025.31,975.38,0.00,64049.93,64049.93,1,
invoices/INV-2025-1027_C015.pdf,INV-2025-1027,C015,Oak & Slate Interiors,2025-03-17,OPEN,include,INV-2025-1027,14819.20,0.00,1037.34,15856.54,15856.54,1,
invoices/INV-2025-1028_C006.pdf,INV-2025-1028,C006,Forgewell Manufacturing,2025-08-15,OPEN,include,INV-2025-1028,32584.64,0.00,1955.08,34539.72,34539.72,1,
invoices/INV-2025-1029_C003.pdf,INV-2025-1029,C003,Cobalt Harbor Clinics,2025-06-17,OPEN,include,INV-2025-1029,38561.46,964.04,2255.85,39853.27,39853.27,1,
invoices/INV-2025-1030_C014.pdf,INV-2025-1030,C014,Northstar Produce Cooperative,2025-10-13,PAID,include,INV-2025-1030,26612.04,1330.60,1516.89,26798.33,26798.33,1,
invoices/INV-2025-1031_C001.pdf,INV-2025-1031,C001,Aster North Analytics,2025-08-20,OPEN,include,INV-2025-1031,55858.39,0.00,3351.50,59209.89,59209.89,1,
invoices/INV-2025-1032_C012.pdf,INV-2025-1032,C012,Lumen Arc Studios,2025-05-09,OPEN,include,INV-2025-1032,36268.80,0.00,3264.19,39532.99,39532.99,1,
invoices/INV-2025-1033_C004.pdf,INV-2025-1033,C004,Driftwood Legal Group,2025-07-26,OPEN,include,INV-2025-1033,59582.64,0.00,0.00,59582.64,59582.64,1,
invoices/INV-2025-1034_C009.pdf,INV-2025-1034,C009,Ion Trail Logistics,2025-06-18,PARTIAL,include,INV-2025-1034,29037.59,0.00,2323.01,31360.60,31360.60,1,
invoices/INV-2025-1035_C009.pdf,INV-2025-1035,C009,Ion Trail Logistics,2025-03-18,PARTIAL,include,INV-2025-1035,15490.05,387.25,1208.22,16311.02,16311.02,1,
